title,year,genre,length,plot,star,n_vote,box_office,director,cast,studio,Company
Jungle Cruise,2021,"['Action', ' Adventure', ' Comedy']",127 min,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,6.6,212438,116990000.0,['Jaume Collet-Serra'],"['Dwayne Johnson', 'Emily Blunt', 'Edgar Ramírez', 'Jack Whitehall']",Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
Fantastic Beasts: The Crimes of Grindelwald,2018,"['Adventure', ' Family', ' Fantasy']",134 min,"Gellert Grindelwald plans to raise an army of wizards to rule over non-magical beings. In response, Newt Scamander's former professor, Albus Dumbledore, seeks his help to stop him.",6.5,308742,159560000.0,['David Yates'],"['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler', 'Johnny Depp']",Warner Bros.,Warner Bros.
I Now Pronounce You Chuck & Larry,2007,"['Comedy', ' Romance']",115 min,"Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits.",5.9,154112,120060000.0,['Dennis Dugan'],"['Adam Sandler', 'Kevin James', 'Jessica Biel', 'Dan Aykroyd']",Universal Pictures,Universal Pictures
Neighbors,2014,['Comedy'],97 min,"After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down.",6.3,329366,150160000.0,['Nicholas Stoller'],"['Seth Rogen', 'Rose Byrne', 'Zac Efron', 'Lisa Kudrow']",Universal Pictures,Universal Pictures
Sleeping with the Enemy,1991,"['Drama', ' Thriller']",99 min,"A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband.",6.3,65123,101600000.0,['Joseph Ruben'],"['Julia Roberts', 'Patrick Bergin', 'Kevin Anderson', 'Elizabeth Lawrence']",Twentieth Century Fox,Others
Valentine's Day,2010,"['Comedy', ' Romance']",125 min,Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,5.7,125406,110490000.0,['Garry Marshall'],"['Julia Roberts', 'Jamie Foxx', 'Anne Hathaway', 'Jessica Alba']",Warner Bros.,Warner Bros.
Deadpool,2016,"['Action', ' Comedy']",108 min,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",8.0,1125351,363070000.0,['Tim Miller'],"['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein']",Twentieth Century Fox,Others
Deadpool 2,2018,"['Action', ' Adventure', ' Comedy']",119 min,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable.",7.6,645425,324590000.0,['David Leitch'],"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison']",Twentieth Century Fox,Others
Nope,2022,"['Horror', ' Mystery', ' Sci-Fi']",130 min,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,6.8,265752,123280000.0,['Jordan Peele'],"['Daniel Kaluuya', 'Keke Palmer', 'Brandon Perea', 'Michael Wincott']",Universal Pictures,Universal Pictures
Basic Instinct,1992,"['Drama', ' Mystery', ' Thriller']",127 min,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,7.1,219084,117730000.0,['Paul Verhoeven'],"['Michael Douglas', 'Sharon Stone', 'George Dzundza', 'Jeanne Tripplehorn']",TriStar Pictures,Others
