title,genre,length,year,plot,star,n_vote,box_office,director,cast
Swept from the Sea,"Drama, Mystery, Romance",115 min,(1997),"The story of Russian emigrant Yanko Goorall and servant Amy Foster in the end of nineteenth century. When Yanko enters a farm, sick and hungry after a shipwreck, everyone is afraid of him, except for Amy.",6.7,"3,606",$0.28M,['Beeban Kidron'],"['Rachel Weisz', 'Vincent Perez', 'Ian McKellen', 'Kathy Bates']"
No Hard Feelings,"Drama, Romance",92 min,(2020),Second-generation Irani-German Parvis works at a refugee shelter where he meets brother and sister Irani refugees and develops a tenuous romance with Amon as his friends attempt refugee status.,6.7,"1,611",N/A,['Faraz Shariat'],"['Benjamin Radjaipour', 'Banafshe Hourmazdi', 'Eidin Jalali', 'Mashid Shariat']"
Monster Pies,"Drama, Romance",85 min,(2013),"Mike has felt alienated and alone for as long as he can remember, until a new boy arrives at his school - awakening feelings and a world of possibilities he'd never before dared to dream of.",6.7,"3,154",N/A,['Lee Galea'],"['Tristan Barr', 'Lucas Linehan', 'Rohana Hayes', 'Katrina Maree']"
The String,"Drama, Romance",93 min,(2009),"Malik has a lot on his plate when he returns home to Tunisia after living in France. He's processing his father's death, he can't come out to his mother, and his childhood anxieties have ...                See full summary »",6.7,"2,216",N/A,['Mehdi Ben Attia'],"['Claudia Cardinale', 'Antonin Stahly Viswanadhan', 'Salim Kechiouche', 'Driss Ramdi']"
The Cornered Mouse Dreams of Cheese,"Drama, Romance",131 min,(2020),"Kyoichi, a man with an indecisive personality, constantly cheats. That is, until his wife sends a P. I to investigate his affairs. But what will happen when the man she sent wants to fulfil his own desires?",6.7,661,N/A,['Isao Yukisada'],"['Noriko Kijima', 'Ryo Narita', 'Tadayoshi Ohkura', 'Miyu Sakihi']"
Guys and Balls,"Comedy, Drama, Romance",106 min,(2004),"After their most recent loss, a soccer team discovers its goalie is gay and casts him out. He retaliates by bringing back an all-gay team for a game to prove who's better.",6.7,"1,949",$0.03M,['Sherry Hormann'],"['Maximilian Brückner', 'Lisa Maria Potthoff', 'Dietmar Bär', 'Eileen Eilender']"
A Man of No Importance,"Comedy, Drama",99 min,(1994),"A friendly, poetry quoting bus conductor in 1963 Dublin wants to stage Oscar Wilde's play, Salome, with passengers on his bus.",6.7,"1,183",$0.93M,['Suri Krishnamma'],"['Albert Finney', 'Brenda Fricker', 'Michael Gambon', 'Tara Fitzgerald']"
Kiki,Documentary,94 min,(2016),A group of LGBTQ youths of color unite to form a safe gathering space.,6.7,621,N/A,['Sara Jordenö'],"['Loretta Coombs', 'Takima Coombs', 'Afrika Juicy Couture', 'Bootz Juicy Couture']"
Seven Days: Monday - Thursday,"Comedy, Romance",66 min,(2015),"Toji is a popular high school boy who is easy to get, but difficult to keep. He will date anyone who asks him on a Monday, but is done with the person by the end of the week. Fellow student...                See full summary »",6.7,630,N/A,['Kenji Yokoi'],"['Tomoki Hirose', 'Yûki Hiyori', 'Rin Ishikawa', 'Itsuki Sagara']"
New Queer Visions: Seeing Is Believing,Drama,94 min,(2020),"In a world where men hide their true love and feelings, where a mother turns bling eye to her son's identity, and where religion dictates that a man may only lie with a woman - is everything we see truly what it seems to be?",6.7,21,N/A,[],"['Elijah Canlas', 'Wim Opbrouck', 'Joel Saracho', 'Victoria Haralabidou']"
The Attachment Diaries,"Drama, Horror, Mystery",102 min,(2021),"Two troubled women on the edge see their lives intertwined when they embark on a vicious crusade of revenge, fueled by shifting passions and haunting secrets.",6.7,61,N/A,['Valentín Javier Diment'],"['Jimena Anganuzzi', 'Lola Berthet', 'Edgardo Castro', 'Germán De Silva']"
The First Death of Joana,Drama,91 min,(2021),"Joana, 13, wants to find out why her great-aunt died at 70 without ever having dated anyone. As she confronts the values of her community in Southern Brazil, Joana realizes that all the ...                See full summary »",6.7,137,N/A,['Cristiane Oliveira'],"['Letícia Kacperski', 'Isabela Bressane', 'Joana Vieira', 'Lisa Becker']"
