title,genre,length,year,plot,star,n_vote,box_office,director,cast
Ladies and Gentlewomen,Documentary,47 min,(2017),"The documentary narrated the tale of Tija and Bija, a lesbian couple, believed to be from Rajasthan and also about a Tamil folktale that features the lovers Pappathi and Karupaayi . Apart ...                See full summary »",9.4,49,N/A,[],[]
Fan Club,"Comedy, Drama",N/A,(I) (2016),About a group of people who come together in their love of Australian TV series Prisoner (a.k.a. Prisoner Cell block H).,9.3,40,N/A,['Eva Alfhild Jonsson'],"['Birgitta Linder', 'Eva Alfhild Jonsson', 'Céline Marcault', 'Emelie Ulfeby']"
Listen to Me: Untold Stories Beyond Hatred,Documentary,75 min,(2016),"Being a gay Armenian- American Vahan Bournazian's life is a journey in search for his identity.Bournazian's mother and sister didn't accept his gay identity, but he was the only one to ...                See full summary »",9.2,61,N/A,['Gagik Ghazerah'],"['Armen Aghajanov', 'Garik Amolikyan', 'Karine Avanyan', 'Vahan Bournazian']"
Opulence,"Documentary, Comedy",49 min,(2019),Contra explains how the aesthetic of abundance has been cultivated and co-opted throughout time and throughout society.,9.1,122,N/A,['Natalie Wynn'],"['Natalie Wynn', 'Buck Angel', 'Harry Brewis', 'Shon Faye']"
Are Traps Gay?,N/A,45 min,(I) (2019),Natalie addresses the attraction cismen have towards trans women.,9.1,92,N/A,"['Natalie Wynn', '|']",[]
So Long Suburbia,"Comedy, Drama",64 min,(2016),Add a Plot,9.1,15,N/A,['Samuel Shanahoy'],"['Aliza Bosa', 'Sorrel Corvid', 'Tuesday Ferguson', 'Drew Florczak']"
Neirud,Documentary,72 min,(2023),"Confronting family secrets, I piece together the mysterious life of my aunt Neirud, a former circus wrestler known as ""the Gorilla Woman.""",9.0,8,N/A,[],[]
Envy,Comedy,108 min,(I) (2021),Natalie Wynn addresses the ever so common issue of being envious.,9.0,43,N/A,['Natalie Wynn'],"['Calpernia Addams', 'Derrick Barry', 'Ben Burgis', 'Violet Gray']"
A Worm in the Heart,Documentary,72 min,(2020),"A WORM IN THE HEART details the lives and stories from the LGBTQ+ community across Russia. Shot in six cities along the Trans-Siberian Railway, this documentary details the current state of...                See full summary »",9.0,114,N/A,[],[]
States of Grace,"Documentary, Drama",74 min,(2014),"After surviving a near-fatal head-on collision on the Golden Gate Bridge, a revered physician struggles to come to terms with her injuries and discover new meaning in her radically altered ...                See full summary »",8.9,31,N/A,[],[]
Convalescent,Drama,108 min,(2021),"January 13th, 2019. Catalina lives with her son Emanuel and her mother Nilda, who's been diagnosed with Alzheimer's Disease two years ago. This same day is Nilda's 70th birthday and some ...                See full summary »",8.7,69,N/A,['Matías De Leis Correa'],"['Marisol Otero', 'Sebastián Sinnott', 'Graciela Muñoz', 'Francisco Ortiz']"
Canceling,Comedy,100 min,(2020),"Natalie Wynn addresses the issue of ""cancel culture"" and her own, personal experiences, pertaining to it.",8.7,97,N/A,['Natalie Wynn'],"['Buck Angel', 'James Charles', 'Tati Westbrook', 'Blaire White']"
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure",140 min,(2023),"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",8.6,"362,633",$381.31M,[],"['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez']"
Autogynephilia,N/A,49 min,(2018),"Natalie discusses Ray Blanchard's transsexual typography, autogynephilia, or the love of oneself as a woman.",8.6,58,N/A,['Natalie Wynn'],"['Peter Coffin', 'Natalie Wynn']"
Difficult Love,Documentary,47 min,(2010),"""Difficult Love"" is an intimate, thought-provoking portrait of internationally celebrated South African lesbian photographer, Zanele Muholi, and her highly personal take on the challenges ...                See full summary »",8.6,9,N/A,[],[]
Kraliçe Fabrika'da,Drama,N/A,(2008),"Drama about the challenges of a young, homosexual couple in Istanbul.",8.6,31,N/A,['Ali Kemal Guven'],"['Umut Armagan', 'Cagri Aslan', 'Didem Ellialti', 'Gülseren Gürtunca']"
Spies Are Forever,Musical,159 min,(2016),"In SPIES ARE FOREVER Agent Curt Mega finds himself thrust into the shadows of Cold War politics as he works to foil a plot to rebuild the Nazi empire. Along the way, Agent Mega must tango ...                See full summary »",8.5,306,N/A,['Corey Lubowich'],"['Curt Mega', 'Mary Kate Wiles', 'Joey Richter', 'Brian Rosenthal']"
Son of a Mother,"Documentary, Biography, Comedy",111 min,(2022),"É para quem está com saudade de gargalhar com Paulo Gustavo. O documentário 'FILHO DA MÃE' acompanha os bastidores da última turnê do ator: um show musical com a mãe, Dona Déa, sua grande ...                See full summary »",8.5,422,N/A,[],"['Paulo Gustavo', 'Fil Braz', 'Ingrid Guimarães', 'IZA']"
The Queens,Documentary,99 min,(2018),"Chronicling the journey of contestants, past and present, who compete for the coveted crown of Miss Continental, a pageant for transgender women.",8.5,15,N/A,['Mark Saxenmeyer'],"['Sunny Dee-Light', 'Maya Douglas', 'Jim Flint', 'Ginger Grant']"
March for Dignity,Documentary,74 min,(2020),"Feature documentary March for Dignity follows a small group of LGBTI+ activists in Tbilisi, Georgia as they attempt to conduct the first Pride march in the country, They face overwhelming ...                See full summary »",8.5,34,N/A,[],[]
416,Documentary,81 min,(2004),This award-winning documentary examines the origins and impact of Nebraska's initiative 416. the most extreme and comprehensive defense of marriage amendment in America.,8.5,23,N/A,[],[]
CorPolitica (Political Bodies),Documentary,95 min,(2022),"At a time when the far right is ascending to power around the world, the 2020 Brazilian municipal elections saw a surprising and unprecedented record of LGBT candidates. This film follows ...                See full summary »",8.4,21,N/A,['Pedro Henrique França'],"['Andréa Bak', 'Monica Benicio', 'William De Lucca', 'Erika Hilton']"
Naanu Avanalla... Avalu,Drama,115 min,(2015),"The film focus on a transgender, who is destined to have a life of utter neglect and disappointments.",8.3,158,N/A,['B.S. Lingadevaru'],"['Sanchari Vijay', 'Kunal Punekar', 'Sumithra', 'Maniyamma']"
Cássia Eller,"Documentary, Biography, Music",120 min,(2014),Biography of Brazilian singer Cássia Eller.,8.3,359,N/A,['Paulo Henrique Fontenelle'],"['Anna Butler', 'Cássia Eller', 'Arthur Dapieve', 'Rúbia Eller']"
The Wolf of Wall Street,"Biography, Comedy, Crime",180 min,(2013),"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,"1,575,730",$116.90M,['Martin Scorsese'],"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']"
Green Book,"Biography, Comedy, Drama",130 min,(2018),A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,8.2,"566,809",$85.08M,['Peter Farrelly'],"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']"
Some Like It Hot,"Comedy, Music, Romance",121 min,(1959),"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",8.2,"282,857",$25.00M,['Billy Wilder'],"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon', 'George Raft']"
Paris Is Burning,Documentary,78 min,(1990),"A chronicle of New York's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality.",8.2,"17,530",$3.78M,['Jennie Livingston'],"['Brooke Xtravaganza', 'André Christian', 'Dorian Corey', 'Paris Duprée']"
Disclosure,Documentary,108 min,(2020),An in-depth look at Hollywood's depiction of transgender people and the impact of those stories on transgender lives and American culture.,8.2,"6,060",N/A,['Sam Feder'],"['Laverne Cox', 'Bianca Leigh', 'Jen Richards', 'Alexandra Billings']"
Chasing Chasing Amy,Documentary,95 min,(2023),A documentary that examines the complex legacy of Kevin Smith's Chasing Amy (1997) on LGBTQ+ people and its life-saving impact on director Sav Rodgers.,8.2,91,N/A,['Sav Rodgers'],"['Joey Lauren Adams', 'Andrew Ahn', 'Trish Bendix', 'Alexa Kagan']"
The Times of Harvey Milk,"Documentary, Biography, History",90 min,(1984),A documentary of the successful career and assassination of San Francisco's first elected gay city supervisor.,8.2,"6,563",$0.01M,['Rob Epstein'],"['Harvey Fierstein', 'Harvey Milk', 'Anne Kronenberg', 'Tory Hartmann']"
J.K. Rowling,"Documentary, Comedy",90 min,(2021),"Joanne Rowling's titular video, where Contra analyzes her alleged transphobia.",8.2,65,N/A,['Natalie Wynn'],"['Derrick Barry', 'Sophie Takagi Kaner', 'Katy Montgomerie', 'Constance Wookey']"
Boulevard Voltaire,Drama,110 min,(2017),"A circle of friends is getting together for a fun night out in Paris. It is Friday, the 13th of November, 2015.",8.2,37,N/A,['Alexandre Vallès'],"['Alexandre Vallès', 'André Schneider', 'Bastien Gabriel', 'Walter Billoni']"
The Higher Spirit,"Comedy, Drama",N/A,(2022),"Coming from mixed backgrounds adopted siblings Smythe, Hanna, Bea, Shane, and Lonny along with their parents Pat and Samantha, will have to search for a HIGHER SPIRIT to get them through this holiday season.",8.2,13,N/A,[],"['Stizzie Austin', 'B.Elise', 'Gio Bank$', 'Zenja Dunn']"
Surviving the Silence,"Documentary, Romance",80 min,(2020),"Two women in love are surviving the demands of a closeted military career when one is forced to expel an Army hero for being a lesbian. The way she does it, however, leads to re-instatement and eventual change in U.S. military policy.",8.2,25,N/A,['Cindy L. Abel'],"['Barbara Brass', 'Margarethe Cammermeyer', 'Eric Fanning', 'Mary Newcombe']"
Prima di tutto,Documentary,54 min,(2012),a personal view on building a same-sex family through surrogacy in contemporary Italy,8.2,22,N/A,[],[]
Persona,"Drama, Thriller",83 min,(1966),A nurse is put in charge of a mute actress and finds that their personae are melding together.,8.1,"130,495",N/A,['Ingmar Bergman'],"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook', 'Gunnar Björnstrand']"
"The Sun, the Moon, & the Hurricane","Drama, Romance",101 min,(2014),"A story about Rain, a man in his thirties, in quest of happiness, love and the purpose of his life and all incident that occurred. About the people he met and places he went to that shaped his destiny.",8.1,60,N/A,['Andri Cung'],"['Natalius Chendana', 'William Tjokro', 'Gesata Stella', 'Cornelio Sunny']"
Upstairs Inferno,"Documentary, History",96 min,(2015),"On June 24, 1973, a gay bar in New Orleans called the Up Stairs Lounge was deliberately set on fire: an event that for over 40 years, was considered the ""Largest Gay Mass Murder in U.S. History"".",8.1,441,N/A,['Robert L. Camina'],"['Christopher Rice', 'Regina Adams', 'Misti Ates', 'David Billings']"
My Child,"Documentary, Family",83 min,(2013),"What happens when your child comes out to you? In this feature documentary, parents of lesbian, gay, bisexual, trans-gender individuals in Turkey intimately share their experiences with the...                See full summary »",8.1,700,N/A,['Can Candan'],"['Mehmet Yilmaz Ak', 'Yunus Albayrak', 'Mehmet Aslantug', 'Zehra Bilgin']"
Haunting Douglas,"Documentary, Biography",75 min,(2003),"Douglas Wright escaped small town New Zealand by punishing his body with drugs, alcohol and eventually, extraordinary dance; but facing death, the world renowned choreographer struggles to exorcise demons even he can't dance away.",8.1,17,N/A,['Leanne Pooley'],"['Douglas Wright', 'Neil Ieremia', 'Shona McCullagh', 'Lloyd Newson']"
Monument van Trots,Documentary,82 min,(2017),Monument of Pride (Monument van Trots) tells the story of the pink revolution in The Netherlands.,8.1,10,N/A,[],[]
We can Be Gay Today: Baltic Pride 2013,Documentary,61 min,(2014),"A documentary about the Lithuanian Gay League and the 2013 Lithuanian LGBT rights parade, which was the first open march for equality in this 20 years-old country.",8.1,19,N/A,[],[]
Deadpool,"Action, Comedy",108 min,(2016),"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",8.0,"1,121,952",$363.07M,['Tim Miller'],"['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein']"
Dog Day Afternoon,"Biography, Crime, Drama",125 min,(1975),"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",8.0,"272,475",$50.00M,['Sidney Lumet'],"['Al Pacino', 'John Cazale', 'Penelope Allen', 'Sully Boyar']"
Young Hearts,"Drama, Family",97 min,(2024),Elias develops feelings for his new neighbor Alexander. He soon realizes he's falling in love for the first time.,8.0,174,N/A,['Anthony Schatteman'],"['Lou Goossens', 'Marius De Saeger', 'Geert Van Rampelberg', 'Emilie De Roo']"
For They Know Not What They Do,Documentary,91 min,(2019),"When the Supreme Court legalized marriage equality, the backlash by the religious right was swift, severe, and successful. Karslake's documentary looks at four faith-based families with ...                See full summary »",8.0,110,N/A,['Daniel G. Karslake'],"['Annette Febo', 'Victor Febo', 'David McBride', 'Sally McBride']"
Somewhere Over That Rainbow,Drama,75 min,(2016),"Coming out is hard, and no one said that once you're out, life gets any easier. Somewhere over that Rainbow follows the journey of 6 young people searching for acceptance and freedom.",8.0,16,N/A,['Rhiannon Williams'],"['Ajay Banks', 'Moise Capalb', 'Claudine Dearn', 'Joshua Diaz']"
The Right to Love: An American Family,Documentary,88 min,(2012),The Right to Love: An American Family chronicles one story of courage born out of the highly mediatized and controversial Prop 8 2008 election results in California.,8.0,93,N/A,['Cassie Jaye'],"['Justin R. Cannon', 'Bryan Leffew', 'Jay Leffew', 'Denise Miney']"
F-Word,Comedy,78 min,(2021),Add a Plot,8.0,7,N/A,['Heidi Germaine Schnappauf'],"['Michael Wawrzynek', ""Jessica O'Hara-Baker"", 'Juliet Biscotti', 'Beverly Brennan']"
Luana Muniz: Daughter of the Moon,"Documentary, Biography",78 min,(2017),"Documentary feature that reveals the intimacy of Luana Muniz, Queen of Lapa in Rio de Janeiro, actress divided between prostitution, LGBT militancy and shows in cabarets. ""Luana Muniz - ...                See full summary »",8.0,11,N/A,[],"['Alcione', 'Luis Lobianco', 'Fábio de Melo', 'Lorna Washington']"
Marchamos,Documentary,82 min,(2018),"In 2005, the first national manifestation against homophobia, called STOP Homophobia, was held in Viseu. The sad events that preceded and impelled the organization of the manifestation are ...                See full summary »",8.0,6,N/A,['Tiago Resende'],"['Ricardo Abreu', 'Manuela Antunes', 'Elsa Batista', 'Miguel Cardoso']"
Home Is You,"Documentary, Biography, Romance",57 min,(2012),What begins as an optimistic 'love story' quickly develops into despair when Yaelle's father ostracized her for her decision to have a lesbian wedding with Aya.,8.0,9,N/A,[],"['Aya Shwed', 'Yaelle Shwed']"
Mulholland Drive,"Drama, Mystery, Thriller",147 min,(2001),"After a car wreck on Mulholland Drive renders a woman amnesiac, she and a Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",7.9,"382,725",$7.22M,['David Lynch'],"['Naomi Watts', 'Laura Harring', 'Justin Theroux', 'Jeanne Bates']"
Bohemian Rhapsody,"Biography, Drama, Music",134 min,(2018),"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",7.9,"590,696",$216.43M,['Bryan Singer'],"['Rami Malek', 'Lucy Boynton', 'Gwilym Lee', 'Ben Hardy']"
Dallas Buyers Club,"Biography, Drama",117 min,(2013),"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",7.9,"518,128",$27.30M,['Jean-Marc Vallée'],"['Matthew McConaughey', 'Jennifer Garner', 'Jared Leto', 'Steve Zahn']"
Welcome to Chechnya,Documentary,107 min,(2020),A group of activists risk their lives fighting for LGBTQ+ rights in Chechnya.,7.9,"3,132",N/A,['David France'],"['Olga Baranova', 'David Isteev', 'Ramzan Kadyrov', 'Maxim Lapunov']"
Crusaders: Ex Jehovah's Witnesses Speak Out,Documentary,87 min,(2021),Whistleblowers leak stolen documents in a crusade to expose allegations of abuse and mind control within a global religious organization: the Jehovah's Witnesses.,7.9,110,N/A,['Aaron Kaufman'],"['Barbara Anderson', 'Gary Breaux', 'Asher Candor', 'Candace Conti']"
The Male Gaze: A Better Tomorrow,Drama,95 min,(2023),"Go on a journey from Mexico to Spain, onto Austria and then to China via Greece in these five moving short films where gay men overcome various obstacles in accepting who they are, and where they are going, things can only get better.",7.9,9,N/A,[],"['Luis Vegas', 'Simon Schwarz', 'Nils Hohenhövel', 'Jeo Pakitsas']"
Can You Bring It: Bill T. Jones and D-Man in the Waters,Documentary,94 min,(2020),Can You Bring It: Bill T. Jones and D-Man in the Waters is a feature documentary that traces the history and legacy of one of the most important works of art to come out of the age of AIDS ...                See full summary »,7.9,34,N/A,[],"['Arthur Aviles', 'Johari Briggs', 'Sean Curran', 'Lawrence Goldhuber']"
Cherry Valentine: Gypsy Queen and Proud,"Documentary, Biography",56 min,(2022),"At 18, George Ward left the Gypsy community after coming out as gay. Leaving his Gypsy identity behind, he invented Cherry Valentine, a drag alter-ego. Now he wants to be accepted as a queer Gypsy.",7.9,38,N/A,['Peter Grant'],"['George Ward', 'Lawrence Chaney', 'Katie Coleman', 'Asttina Mandella']"
"Sexo, Pregações e Política",Documentary,71 min,(2016),Brazil aims to build and sell an image of its society where sexuality is liberated and sexual orientation is highlighted and even respected. But it is also the most religious country in the...                See full summary »,7.9,16,N/A,[],"['Jair Bolsonaro', 'Indianara Siqueira', 'Jean Wyllys']"
The LuLu Sessions,Documentary,86 min,(2011),Two best friends taking on life's ultimate adventure - death.,7.9,28,N/A,"['S. Casper Wong', '|']",[]
Call Me by Your Name,"Drama, Romance",132 min,(2017),"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",7.8,"313,775",$18.10M,['Luca Guadagnino'],"['Timothée Chalamet', 'Armie Hammer', 'Michael Stuhlbarg', 'Amira Casar']"
All About My Mother,"Comedy, Drama, Romance",101 min,(1999),"A comedy-drama about a bereaved mother, and overwrought actress, her jealous lover, and a pregnant nun.",7.8,"102,653",$8.26M,['Pedro Almodóvar'],"['Cecilia Roth', 'Marisa Paredes', 'Candela Peña', 'Antonia San Juan']"
Pandora's Box,"Crime, Drama, Romance",109 min,(1929),The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.,7.8,"11,818",$0.01M,['Georg Wilhelm Pabst'],"['Louise Brooks', 'Fritz Kortner', 'Francis Lederer', 'Carl Goetz']"
C.R.A.Z.Y.,"Comedy, Drama",129 min,(2005),"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values.",7.8,"34,090",N/A,['Jean-Marc Vallée'],"['Michel Côté', 'Marc-André Grondin', 'Danielle Proulx', 'Émile Vallée']"
The Celluloid Closet,"Documentary, History",102 min,(1995),A documentary surveying the various Hollywood screen depictions of homosexuals and the attitudes behind them throughout the history of North American film.,7.8,"7,487",$1.51M,[],"['Lily Tomlin', 'Tony Curtis', 'Susie Bright', 'Arthur Laurents']"
A Secret Love,"Documentary, Biography, Drama",81 min,(2020),"Falling in love in 1947, two women -- Pat Henschel and pro baseball player Terry Donahue -- begin a 65-year journey of love and overcoming prejudice.",7.8,"4,911",N/A,['Chris Bolan'],"['Terry Donahue', 'Pat Henschel', 'Diana Bolan', 'Kim Donahue']"
For the Bible Tells Me So,"Documentary, Romance",95 min,(2007),An exploration of the intersection between religion and homosexuality in the U.S. and how the religious right has used its interpretation of the Bible to stigmatize the gay community.,7.8,"4,518",$0.31M,['Daniel G. Karslake'],"['Imogene Robinson', 'Victor Robinson', 'Gene Robinson', ""Isabella 'Boo' McDaniel""]"
P.S. Burn This Letter Please,Documentary,101 min,(2020),"P.S. Burn This Letter Please is a documentary film about New York City's drag community. A box of letters, held in secret for nearly 60 years, ignites a 5-year exploration into a part of ...                See full summary »",7.8,205,N/A,[],"['Michael Alogna', 'Henry Arango', 'James Bidgood', 'Robert Bouvard']"
Breaking Through,"Documentary, Biography, Drama",85 min,(2013),"In BREAKING THROUGH, openly LGBT elected officials - including the first openly gay US Senator, Tammy Baldwin - share their stories of self-doubt and triumph over multiple barriers, ...                See full summary »",7.8,24,N/A,['Cindy L. Abel'],"['Tammy Baldwin', 'Alex Wan', 'Kathy Webb', 'Annise Parker']"
Der Spalt,"Drama, Thriller",101 min,(2014),"Alex is human. Alex was assigned to the male gender at birth. She knows that this assignment was wrong. In a world she's living, she doesn't exist. Bodies are normed, people are squared, ...                See full summary »",7.8,14,N/A,['Kim Anja Schicklang'],"['Dorothea Baltzer', 'Werner Braunschädel', 'Trischa Dorner', 'Folkert Dücker']"
Ubezhdeniya,"Documentary, Comedy",63 min,(2016),Four stories of young men's encounters with army recruitment commissions. Ardent pacifist Roman is sent through a series of humiliating court trials. Losha and Viktor endure long and ...                See full summary »,7.8,40,N/A,['Tatyana Chistova'],"['Roman Fedotov', 'Viktor Semenenkov', 'Alekséi Rýkov', 'Ivan Fedoseev']"
Brokeback Mountain,"Drama, Romance",134 min,(2005),Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,7.7,"381,204",$83.04M,['Ang Lee'],"['Jake Gyllenhaal', 'Heath Ledger', 'Michelle Williams', 'Randy Quaid']"
Blue Is the Warmest Colour,"Drama, Romance",180 min,(2013),"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",7.7,"162,708",$2.20M,['Abdellatif Kechiche'],"['Léa Seydoux', 'Adèle Exarchopoulos', 'Salim Kechiouche', 'Aurélien Recoing']"
500 Days of Summer,"Comedy, Drama, Romance",95 min,(2009),"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",7.7,"555,904",$32.39M,['Marc Webb'],"['Zooey Deschanel', 'Joseph Gordon-Levitt', 'Geoffrey Arend', 'Chloë Grace Moretz']"
Philadelphia,Drama,125 min,(1993),"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",7.7,"257,497",$77.32M,['Jonathan Demme'],"['Tom Hanks', 'Denzel Washington', 'Roberta Maxwell', 'Buzz Kilman']"
Hedwig and the Angry Inch,"Comedy, Drama, Music",95 min,(2001),A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,7.7,"37,281",$3.03M,['John Cameron Mitchell'],"['John Cameron Mitchell', 'Miriam Shor', 'Stephen Trask', 'Theodore Liscinski']"
This Special Friendship,"Drama, Romance",99 min,(1964),A tale of the tender relationship between a twelve-year-old boy and the upperclassman who is the object of his desire. All set in the rigid atmosphere of a Jesuit-run school.,7.7,"3,022",N/A,['Jean Delannoy'],"['Francis Lacombrade', 'Didier Haudepin', 'François Leccia', 'Dominique Maurin']"
Billie Eilish: The World's a Little Blurry,"Documentary, Biography, Comedy",140 min,(2021),"An intimate look at the singer-songwriter's journey, navigating life on the road, on stage, in the streets and at home, while creating her debut album.",7.7,"8,785",N/A,['R.J. Cutler'],"['Billie Eilish', ""Finneas O'Connell"", 'Maggie Baird', ""Patrick O'Connell""]"
Given,"Animation, Drama, Music",59 min,(2020),"The film centers on the love relationship among the Given music band's bassist Haruki Nakayama, drummer Akihiko Kaji, and Akihiko's roommate and ex-boyfriend Ugetsu Murata.",7.7,"2,411",N/A,['Hikaru Yamaguchi'],"['Kotaro Asanuma', 'Takuya Eguchi', 'Masatomo Nakazawa', 'Yuma Uchida']"
Gameboys: The Movie,"Comedy, Drama, Romance",107 min,(2021),"Gamers turned lovers Cairo and Gavreel spend time together a few weeks before Cairo returns to his province. Their relationship is tested as they have to deal with distance, the pandemic, fate and circumstance.",7.7,484,N/A,['Ivan Andrew Payawal'],"['Kokoy De Santos', 'Elijah Canlas', 'Adrianna So', 'Kyle Velino']"
You Won't See Winter,"Drama, Mystery, Thriller",70 min,(2022),The director of the Iranian internet censorship is trying to contain the scandal of viral sex footage on social media depicting his sister-in-law's alleged lesbian affair with an Iranian-Canadian girl.,7.7,7,N/A,['Abdolreza Kahani'],"['Ghazal Partou', 'Ali Aryana', 'Nazanin Arabani', 'Sadaf Shakori']"
My Lockdown Romance,"Comedy, Romance",90 min,(2020),"Tom had a big crush on his jock friend Kendrick, but never had the guts to tell him what he really felt for fear of losing their friendship. When Kendrick left the country to migrate to ...                See full summary »",7.7,36,N/A,['Bobby Bonifacio Jr.'],"['Jameson Blake', 'Joao Constancia', 'Gab Pangilinan', 'Raffy Tejada']"
Jack & Yaya,Documentary,84 min,(2019),"Jack and Yaya met at ages three and two through their shared backyard fence. They spent their childhood together, building forts and burning trash cans in their small hometown in South ...                See full summary »",7.7,48,N/A,[],[]
How to Grow a Tiger Lily,"Comedy, Drama, Mystery",74 min,(2019),"Lily, a photographer riddled with crippling anxiety, tries to over come the manipulative people in her life while being stalked by a mysterious woman.",7.7,9,N/A,['Anthony Aguiar'],"['Mandy Brown', 'Catherine Lerza', 'Ronny Marasigan', 'Hazer Ozcan']"
Watchmen,"Action, Drama, Mystery",162 min,(2009),"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history.",7.6,"581,103",$107.51M,['Zack Snyder'],"['Jackie Earle Haley', 'Patrick Wilson', 'Carla Gugino', 'Malin Akerman']"
Scott Pilgrim vs. the World,"Action, Comedy, Fantasy",112 min,(2010),"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",7.6,"464,190",$31.49M,['Edgar Wright'],"['Michael Cera', 'Mary Elizabeth Winstead', 'Kieran Culkin', 'Anna Kendrick']"
God's Own Country,"Drama, Romance",104 min,(2017),"Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path.",7.6,"35,336",$0.34M,['Francis Lee'],"[""Josh O'Connor"", 'Alec Secareanu', 'Gemma Jones', 'Ian Hart']"
And Then We Danced,"Drama, Romance",113 min,(2019),"A passionate coming-of-age tale set amidst the conservative confines of modern Tbilisi, the film follows Merab, a competitive dancer who is thrown off balance by the arrival of Irakli, a fellow male dancer with a rebellious streak.",7.6,"14,306",N/A,['Levan Akin'],"['Levan Gelbakhiani', 'Bachi Valishvili', 'Ana Javakishvili', 'Kakha Gogidze']"
Happy Hour,Drama,317 min,(2015),A slow-burning epic chronicling the emotional journey of four thirty something women in the misty seaside city of Kobe.,7.6,"2,901",N/A,['Ryûsuke Hamaguchi'],"['Sachie Tanaka', 'Hazuki Kikuchi', 'Maiko Mihara', 'Rira Kawamura']"
The Wedding Banquet,"Comedy, Drama, Romance",106 min,(1993),"To satisfy his nagging parents, a gay landlord and a female tenant agree to a marriage of convenience, but his parents arrive to visit and things get out of hand.",7.6,"17,085",$6.93M,['Ang Lee'],"['Winston Chao', 'May Chin', 'Ah-Lei Gua', 'Sihung Lung']"
Fox and His Friends,"Crime, Drama, Romance",123 min,(1975),A suggestible working-class innocent wins the lottery but lets himself be taken advantage of by his bourgeois new boyfriend and his circle of materialistic friends.,7.6,"6,718",N/A,['Rainer Werner Fassbinder'],"['Rainer Werner Fassbinder', 'Peter Chatel', 'Karlheinz Böhm', 'Adrian Hoven']"
Mädchen in Uniform,"Drama, Romance",87 min,(1931),"At an all-girls boarding school, Manuela falls in love with a teacher, to terrific consequences.",7.6,"3,717",N/A,[],"['Dorothea Wieck', 'Hertha Thiele', 'Emilia Unda', 'Hedy Krilla']"
Tab Hunter Confidential,"Documentary, Biography",90 min,(2015),The story of matinee idol Tab Hunter from teenage stable boy to closeted Hollywood star of the 1950s.,7.6,"3,554",N/A,['Jeffrey Schwarz'],"['Tab Hunter', 'Clint Eastwood', 'Paul Newman', 'Natalie Wood']"
