title,genre,length,year,plot,star,n_vote,box_office,director,cast,keyword
What Have I Done to Deserve This?,"['Comedy', ' Drama']",101 min,1984,"The vicissitudes of Gloria, a neurotic housewife, and her family's peculiar characters.",7.1,11131,0.0,['Pedro Almodóvar'],"['Carmen Maura', 'Gonzalo Suárez', 'Luis Hostalot', 'Ryo Hiruma']",gay
Cicada,"['Drama', ' Romance']",96 min,2020,A New York love story that toes the line between narrative and doc with two actors reliving parts of their own experiences.,6.6,1096,0.0,[],"['Matthew Fifer', 'Sheldon D. Brown', 'Sandra Bauleo', 'Jazmin Grace Grimaldi']",gay
Say Yes,['Drama'],94 min,2018,A young woman diagnosed with cancer tries to play matchmaker between her soon-to-be-widowed husband and her bisexual twin brother.,6.4,656,0.0,['Stewart Wade'],"['Leah McKendrick', 'Patrick Zeller', 'Matt Pascua', 'Shari Belafonte']",gay
Steam: The Turkish Bath,"['Drama', ' Romance']",94 min,1997,Francesco inherits an old palace from a Turkish aunt and moves to Istanbul to renovate it.,6.8,7205,660000.0,['Ferzan Özpetek'],"['Alessandro Gassmann', ""Francesca d'Aloja"", 'Carlo Cecchi', 'Halil Ergün']",gay
Orpheus' Song,"['Adventure', ' Romance']",75 min,2019,"Two best friends from Berlin win a trip to Greece. On their excursion, they get lost on an island. They spend the night together in a cave and dream a mystical dream. On the next day, nothing between the two will be like it was before.",5.7,922,0.0,['Tor Iben'],"['Sascha Weingarten', 'Julien Lickert', 'Henry Morales', 'Kristina Kostiv']",gay
Scenes from the Class Struggle in Beverly Hills,['Comedy'],103 min,1989,The widow's houseboy and the divorcee's chauffeur bet on which will bed the other's employer first.,5.9,1437,2160000.0,['Paul Bartel'],"['Jacqueline Bisset', 'Ray Sharkey', 'Mary Woronov', 'Robert Beltran']",gay
Luz,"['Crime', ' Drama', ' Romance']",118 min,2020,"What began as a friendship turns into a fierce romance in this heart-wrenching drama. LUZ is a story of survival, not only for the lives of both men, but for their relationship as it transitions to the world outside their cell.",6.6,5563,0.0,['Jon Garcia'],"['Ernesto Reyes', 'Jesse Tayeh', 'Jimmy Garcia', 'Alma Gloria Garcia']",gay
Greek Pete,"['Drama', ' Romance']",75 min,2009,A year in the life of a London rent-boy.,5.1,722,0.0,['Andrew Haigh'],"['Peter Pittaros', 'Lewis Wallis', 'Tristan Field', 'Liam Thompson']",gay
Human Capital,"['Drama', ' Thriller']",98 min,2019,The lives of two different families collide when their children begin a relationship that leads to a tragic accident.,5.7,9478,0.0,['Marc Meyers'],"['Liev Schreiber', 'Marisa Tomei', 'Peter Sarsgaard', 'Maya Hawke']",gay
Running on Empty Dreams,"['Drama', ' Romance']",120 min,2009,About a married woman who falls in love with a single mom.,4.4,821,0.0,['Nitara Lee Osbourne'],"['Kathleen Benner', 'Rachel Owens', 'Jose Rosete', 'Wil Rillero']",gay
The Ignorant Fairies,"['Drama', ' Romance']",106 min,2001,"After a deathly car accident, Antonia starts dating her husband's friends and finds the truth about his life.",7.3,10040,220000.0,['Ferzan Özpetek'],"['Margherita Buy', 'Stefano Accorsi', 'Serra Yilmaz', 'Gabriel Garko']",gay
Happy Campers,['Comedy'],94 min,2001,"When a summer camp director gets injured, the diverse group of college freshmen counselors take charge and spice up the everyday routine of the camp.",5.4,2844,0.0,['Daniel Waters'],"['Brad Renfro', 'Dominique Swain', 'Keram Malicki-Sánchez', 'Emily Bergl']",gay
The City of Your Final Destination,"['Drama', ' Romance']",117 min,2009,"Omar wants to write an authorized biography on a dead writer and travels to a farm in Uruguay to meet the trustees - the writer's brother, widow and cute mistress/mother of his daughter.",6.3,3238,0.0,['James Ivory'],"['Omar Metwally', 'Anthony Hopkins', 'Charlotte Gainsbourg', 'Nicholas Blandullo']",gay
Rituals,"['Adventure', ' Horror', ' Thriller']",100 min,1977,"Five doctors on a wilderness outing are stalked by disfigured, crazed killers.",6.2,3065,0.0,['Peter Carter'],"['Hal Holbrook', 'Lawrence Dane', 'Robin Gammell', 'Ken James']",gay
I'll Sleep When I'm Dead,"['Crime', ' Drama', ' Mystery']",103 min,2003,A former gangster reenters the criminal underworld after his brother suspiciously commits suicide.,5.8,8988,360000.0,['Mike Hodges'],"['Clive Owen', 'Malcolm McDowell', 'Jonathan Rhys Meyers', 'Charlotte Rampling']",gay
Edge of Seventeen,"['Comedy', ' Drama', ' Romance']",99 min,1998,A teenager copes with his sexuality on the last day of school in 1984. It shows him coping with being gay and being with friends.,6.8,7108,870000.0,['David Moreton'],"['Chris Stafford', 'Tina Holmes', 'Andersen Gabrych', 'Stephanie McVay']",gay
Fanfic,['Drama'],95 min,2023,Two high school students form an intense connection as they navigate the challenges of discovering and expressing their truest selves.,5.7,1135,0.0,['Marta Karwowska'],"['Alin Szewczyk', 'Jan Cieciara', 'Dobromir Dymecki', 'Wiktoria Kruszczynska']",gay
Badhaai Do,"['Comedy', ' Crime', ' Drama']",147 min,2022,Shardul Thakur Flaglot and Suman Singh enter into a marriage of convenience but chaos ensues when her unhinged girlfriend comes to stay with them.,7.0,21106,0.0,['Harshavardhan Kulkarni'],"['Rajkummar Rao', 'Bhumi Pednekar', 'Chum Darang', 'Sheeba Chaddha']",gay
Interior. Leather Bar.,['Drama'],60 min,2013,Filmmakers James Franco and Travis Mathews re-imagine the lost 40 minutes from Cruising (1980) as a starting point to a broader exploration of sexual and creative freedom.,5.0,2710,40000.0,[],"['Val Lauren', 'Christian Patrick', 'James Franco', 'Travis Mathews']",gay
The Ornithologist,"['Adventure', ' Drama', ' Mystery']",117 min,2016,"Fernando, a solitary ornithologist, is looking for black storks when he is swept away by the rapids. Rescued by a couple of Chinese pilgrims, he plunges into an eerie and dark forest, trying to get back on his track.",6.3,3755,50000.0,['João Pedro Rodrigues'],"['Paul Hamy', 'João Pedro Rodrigues', 'Xelo Cagiao', 'Han Wen']",gay
Amphetamine,"['Drama', ' Romance']",97 min,2010,"Openly gay banker Daniel debates whether to return to Australia or stay in Hong Kong when he meets Kafka, a straight swimming instructor. The young men fall in love, believing that their ...                See full summary »",5.7,1115,0.0,['Scud'],"['Byron Pang', 'Thomas Price', 'Winnie Leung', 'Linda So']",gay
Eisenstein in Guanajuato,"['Biography', ' Comedy', ' Drama']",105 min,2015,"The venerated filmmaker Eisenstein is comparable in talent, insight and wisdom, with the likes of Shakespeare or Beethoven; there are few - if any - directors who can be elevated to such ...                See full summary »",6.3,3104,30000.0,['Peter Greenaway'],"['Elmer Bäck', 'Luis Alberti', 'Maya Zapata', 'Lisa Owen']",gay
Private Valentine: Blonde & Dangerous,"['Adventure', ' Comedy', ' Drama']",98 min,2008,"When fluffy, bubble gum movie star Megan Valentine suddenly finds herself broke and humiliated in the public eye, she wanders from the wreckage of a car accident and witlessly enlists in the U.S. Army hoping in vain that it will change her life.",4.3,4443,0.0,['Steve Miner'],"['Jessica Simpson', 'Vivica A. Fox', 'Steve Guttenberg', 'Aimee Garcia']",gay
The Unbelievable Truth,"['Comedy', ' Drama', ' Romance']",90 min,1989,"A man returns to his home town after serving a prison sentence for homicide, and finds that the details of the crime have been forgotten and replaced with local legends and rumors.",7.2,6286,550000.0,['Hal Hartley'],"['Adrienne Shelly', 'Robert John Burke', 'Chris Cooke', 'Julia McNeal']",gay
Sublet,"['Comedy', ' Drama', ' Romance']",89 min,2020,A New York Times travel writer comes to Tel Aviv after suffering a tragedy. The energy of the city and his relationship with a younger man brings him back to life.,7.0,2966,0.0,['Eytan Fox'],"['John Benjamin Hickey', 'Niv Nissim', 'Lihi Kornowski', 'Miki Kam']",gay
Sextette,"['Comedy', ' Musical', ' Romance']",91 min,1977,"On the day of her wedding to her sixth husband, a glamorous silver screen sex symbol is asked to intervene in a political dispute between nations, which leads to chaos.",3.8,1547,0.0,['Ken Hughes'],"['Mae West', 'Timothy Dalton', 'Dom DeLuise', 'Tony Curtis']",gay
Fourth Man Out,"['Comedy', ' Drama']",86 min,2015,"A car mechanic in a small, working class town comes out of the closet to his unsuspecting, blue-collar best friends.",6.7,10840,0.0,['Andrew Nackman'],"['Parker Young', 'Evan Todd', 'Chord Overstreet', 'Jon Gabrus']",gay
Far More,"['Comedy', ' Drama']",98 min,2021,"Adrian Grenier stars as Sean McAllister, a successful fashion designer who hasn't seen his family in years. He returns to his hometown for a painstaking family reunion that will take him back to his past only to rebuild his future.",6.0,306,0.0,['Ally Walker'],"['Joshua Rush', 'Adrian Grenier', 'Joanna Ranee Wood', 'Betsy Cramer']",gay
The Girl with a Pistol,"['Comedy', ' Drama', ' Romance']",103 min,1968,"A Sicilian woman ""dishonored"" by her lover goes to England with a pistol intending to murder him.",6.6,1727,0.0,['Mario Monicelli'],"['Monica Vitti', 'Stanley Baker', 'Corin Redgrave', 'Anthony Booth']",gay
Two and One,['Drama'],115 min,2022,"A gay couple realizes they aren't sexually compatible, so they look for a third man. But when betrayal and jealousy sneak in, their relationship shatters into pieces.",6.3,250,0.0,['Ivan Andrew Payawal'],"['Miggy Jimenez', 'Cedrick Juan', 'Paolo Pangilinan', 'Raquel Monteza']",gay
The Slasher ...is the Sex Maniac!,"['Crime', ' Drama', ' Horror']",88 min,1972,A serial killer is on the loose. His victims are unfaithful wives and he always leaves compromising photographs at the crime scene.,6.0,1092,0.0,['Roberto Bianchi Montero'],"['Farley Granger', 'Sylva Koscina', 'Silvano Tranquilli', 'Annabella Incontrera']",gay
Deadfall,"['Crime', ' Drama', ' Thriller']",120 min,1968,"Cat burglar Henry Clarke and his accomplices, the Moreaus, attempt to steal diamonds from the château of millionaire Salinas. However, Henry's partners in crime aren't the most emotionally stable people.",5.7,1270,0.0,['Bryan Forbes'],"['Michael Caine', 'Giovanna Ralli', 'Eric Portman', 'Nanette Newman']",gay
C.S.A.: The Confederate States of America,"['Comedy', ' Drama', ' War']",89 min,2004,"Through the eyes of a British ""documentary"", this film takes a satirically humorous, and sometimes frightening, look at the history of an America where the South won the Civil War.",6.4,5162,670000.0,['Kevin Willmott'],"['Greg Kirsch', 'Renee Patrick', 'Molly Graham', 'William Willmott']",gay
The Zone,['Drama'],70 min,2011,A mysterious visitor spends the night at an apartment belonging to a young engaged couple and their friend.,4.8,305,0.0,['Joe Swanberg'],"['Sophia Takal', 'Lawrence Michael Levine', 'Kate Lyn Sheil', 'Kentucker Audley']",gay
Up Pompeii,"['Comedy', ' History']",90 min,1971,Roman slave Lurcio inadvertently becomes the possessor of a scroll naming the proposed assassins of the Emperor Nero. Administering to the participants of his master's orgy guests seems ...                See full summary »,6.0,1217,0.0,['Bob Kellett'],"['Frankie Howerd', 'Patrick Cargill', 'Bill Fraser', 'Michael Hordern']",gay
Blush,"['Comedy', ' Drama', ' Romance']",84 min,2015,"Trying to escape her tumultuous home life, Naama, 17, indulges in alcohol and drugs, but everything changes when she meets a sexy, free-spirited new girl at school and the two become more than fast friends.",5.9,900,0.0,['Michal Vinik'],"['Sivan Noam Shimon', 'Hadas Jade Sakori', 'Dvir Benedek', 'Irit Pashtan']",gay
Departing Seniors,"['Comedy', ' Horror', ' Mystery']",85 min,2023,"Following an act of bullying, witty high school senior Javier develops psychic abilities which he must use to stop a mysterious serial killer targeting his classmates.",5.7,167,0.0,['Clare Cooney'],"['Ignacio Diaz-Silverio', 'Yani Gellman', 'Ireon Roach', 'Cameron Scott Roberts']",gay
Sauna,"['Drama', ' Horror', ' Mystery']",83 min,2008,"As a 25-year war between Russia and Sweden concludes, two brothers who are part of an effort to outline new border accords become undone by their actions, and their mistreatment of a young woman during their journey.",6.2,7479,0.0,['Antti-Jussi Annila'],"['Ville Virtanen', 'Tommi Eronen', 'Viktor Klimenko', 'Rain Tolk']",gay
Solo,"['Drama', ' Romance', ' Thriller']",76 min,2013,"A sexy, romantic and uncomfortably chilling story from first time director Marcelo Briem Stamm. Handsome middle class Manuel (Patrico Ramos), hurt by his previous relationship and bored ...                See full summary »",6.4,1709,0.0,['Marcelo Briem Stamm'],"['Patricio Ramos', 'Mario Verón', 'Carlos Echevarría', 'Laura Agorreca']",gay
The Falls,"['Drama', ' Romance']",91 min,2012,The Falls is a feature film about two missionaries that fall in love while on their mission.,6.7,2819,0.0,['Jon Garcia'],"['Nick Ferrucci', 'Benjamin Farmer', 'Brian J. Saville Allard', 'Quinn Allan']",gay
The Parade,"['Comedy', ' Drama', ' History']",115 min,2011,"A homophobic Serbian gangster is forced to make a deal with wedding planner gay activist, to assemble a team which will protect the upcoming Pride Parade in Belgrade, and in exchange his fiancée can get her dream wedding.",7.3,12959,0.0,['Srdjan Dragojevic'],"['Nikola Kojo', 'Milos Samolov', 'Hristina Popovic', 'Goran Jevtic']",gay
That's What I Am,"['Comedy', ' Drama', ' Romance']",101 min,2011,"In 1965, 13 y.o. paperboy Andy's paired up with a geek on a project in the popular junior high teacher's class. Andy learns and grows from it.",7.0,10958,0.0,['Michael Pavone'],"['Ed Harris', 'Chase Ellison', 'Molly Parker', 'Daniel Roebuck']",gay
Operation Hyacinth,"['Crime', ' Drama']",112 min,2021,"Poland, 1985: Not satisfied with the result of a murder investigation, a young officer in communist Warsaw sets out on his own to discover the truth.",6.8,4331,0.0,['Piotr Domalewski'],"['Tomasz Zietek', 'Hubert Milkowski', 'Marek Kalita', 'Adrianna Chlebicka']",gay
Wild in the Streets,"['Comedy', ' Drama', ' Music']",97 min,1968,A young man gains significant political influence as the leader of a counterculture rock band with his rallying cry of voting rights for teenagers.,5.9,2207,0.0,['Barry Shear'],"['Christopher Jones', 'Shelley Winters', 'Diane Varsi', 'Hal Holbrook']",gay
The Walker,"['Crime', ' Drama', ' Mystery']",108 min,2007,"An escort who caters to Washington, D.C.'s society ladies becomes involved in a murder case.",5.8,5891,80000.0,['Paul Schrader'],"['Woody Harrelson', 'Kristin Scott Thomas', 'Lauren Bacall', 'Ned Beatty']",gay
Double Lives,"['Comedy', ' Drama', ' Romance']",108 min,2018,"Set in the Parisian publishing world, an editor and an author find themselves in over their heads, as they cope with a middle-age crisis, the changing industry and their wives.",6.4,5783,700000.0,['Olivier Assayas'],"['Guillaume Canet', 'Juliette Binoche', 'Vincent Macaigne', 'Christa Théret']",gay
All Nudity Shall Be Punished,['Drama'],102 min,1973,"Rich, spoiled youngman encounters a prostitute, and gets confused about the nature of his feelings for her; he can't decide between attraction, and repulsion.",6.9,630,0.0,['Arnaldo Jabor'],"['Paulo Porto', 'Darlene Glória', 'Elza Gomes', 'Paulo César Peréio']",gay
Todos los incendios,['Drama'],96 min,2023,"Bruno, a struggling teenage pyromaniac flees the city and embarks on a journey in quest of a girl he met online who would force him to confront the death of his father and his sexuality-related uncertainties.",6.8,81,0.0,['Mauricio Calderón Rico'],"['Antonio Fortier', 'Ximena Ayala', 'Iliana Donatlán', 'Hector Illanes']",gay
Groove,"['Drama', ' Music']",86 min,2000,An inside look into one night in the San Francisco underground rave scene.,6.6,4527,1110000.0,['Greg Harrison'],"['Chris Ferreira', 'Mackenzie Firgens', 'Elizabeth Sun', 'Steve Van Wormer']",gay
Angels in America: Part I - Millennium Approaches,['Drama'],220 min,2017,The National Theatre's live theatrical production of Tony Kushner's play 'Angels in America' about New Yorkers grappling with the AIDS crisis during the mid-1980s.,8.9,793,0.0,[],"['Andrew Garfield', 'Russell Tovey', 'Denise Gough', 'Nathan Lane']",gay
Minyan,['Drama'],118 min,2020,A young Jewish man is caught between thrilling private trysts and his repressive family in this thoughtful drama set in 1980s Brooklyn.,6.5,1108,0.0,['Eric Steel'],"['Samuel H. Levine', 'Ron Rifkin', 'Christopher McCann', 'Mark Margolis']",gay
Naked in New York,"['Comedy', ' Romance']",95 min,1993,"Jake meets Joanne in college. He's into theater, writing plays. She's into photography. They move in together etc. She meets Elliot, owner of a big gallery, works for him and things change.",5.5,1750,1040000.0,['Daniel Algrant'],"['Eric Stoltz', 'Mary-Louise Parker', 'Ralph Macchio', 'Jill Clayburgh']",gay
"Happy, Texas","['Comedy', ' Crime', ' Romance']",98 min,1999,"3 prisoners escape. 2 end up in Happy, Texas, where they're mistaken for a gay couple expected there to help with the small girls beauty pageant. As the 2 are paid $1000, they decide to stay until the heat is gone.",6.3,10292,1940000.0,['Mark Illsley'],"['Jeremy Northam', 'Steve Zahn', 'William H. Macy', 'Ally Walker']",gay
Cobalt Blue,"['Drama', ' Romance']",112 min,2022,"When a brother and sister fall in love with the same man, ensuing events shatter a traditional Marathi family. Based on Sachin Kundalkar's novel.",6.5,2497,0.0,['Sachin Kundalkar'],"['Neelay Mehendale', 'Prateik Patil Babbar', 'Lovish Bhatia', 'Neil Bhoopalam']",gay
The Amateurs,['Comedy'],96 min,2005,"Citizens of a small town, under the influence of a man in the midst of a mid-life crisis, come together to make an adult film.",6.2,6574,20000.0,['Michael Traeger'],"['Jeff Bridges', 'Ted Danson', 'Joe Pantoliano', 'Tim Blake Nelson']",gay
The Promised Land,['Drama'],170 min,1975,Three friends hope to build a factory but their plans are quickly jeopardized by local politics and one of the partner's dangerous love affair.,7.8,4026,0.0,['Andrzej Wajda'],"['Daniel Olbrychski', 'Wojciech Pszoniak', 'Andrzej Seweryn', 'Anna Nehrebecka']",gay
Eroddity(s),"['Drama', ' Fantasy', ' Horror']",70 min,2014,"This four story anthology offers a voyeuristic window into the lives of ten gay youths. Follow as they enter a world of the odd, the erotic and the supernatural.",4.0,308,0.0,['Steven Vasquez'],"['Brandon Rife', 'Addison Graham', 'Edward Gutierrez', 'Cory Tyndall']",gay
Straight-Jacket,"['Comedy', ' Romance']",96 min,2004,"In 1950's Hollywood, movie star Guy Stone must marry a studio secretary in order to conceal his homosexuality. Sally has no idea her marriage is a sham, though, and turns Guy's life upside-down. Then he falls in love.",6.6,947,50000.0,['Richard Day'],"['Matt Letscher', 'Carrie Preston', 'Adam Greer', 'Veronica Cartwright']",gay
The Ritz,['Comedy'],91 min,1976,"Evading a mob contract on his life, a heterosexual man winds up hiding out at a homosexual bathhouse.",6.9,2706,0.0,['Richard Lester'],"['Jack Weston', 'Rita Moreno', 'Jerry Stiller', 'Kaye Ballard']",gay
Love Is the Devil: Study for a Portrait of Francis Bacon,"['Biography', ' Drama', ' Romance']",87 min,1998,"Biography of British painter Francis Bacon focuses on his relationship with his lover, George Dyer, a former small time crook.",6.5,3994,340000.0,['John Maybury'],"['Derek Jacobi', 'Daniel Craig', 'Tilda Swinton', 'Anne Lambton']",gay
Humo bajo el agua,"['Drama', ' Romance']",107 min,2023,"Follows the friendship between Julián and Patricio during a key moment of the Argentinian history, the return of democracy. Their reunion will make them realize that their affection has become an indomitable feeling.",7.7,22,0.0,[],"['Mimí Ardú', 'Norma Argentina', 'Luis Brandoni', 'David Di Nápoli']",gay
Quinceañera,['Drama'],90 min,2006,"As Magdalena's 15th birthday approaches, her simple, blissful life is complicated by the discovery that she's pregnant. Kicked out of her house, she finds a new family with her great-granduncle and gay cousin.",6.9,4297,1690000.0,[],"['Emily Rios', 'Jesse Garcia', 'Chalo González', 'Jesus Castanos']",gay
Promare,"['Animation', ' Action', ' Adventure']",111 min,2019,A futuristic firefighting mecha service is created to protect the world.,7.0,5204,0.0,['Hiroyuki Imaishi'],"['John Eric Bentley', 'Steve Blum', 'Johnny Yong Bosch', 'Melissa Fahn']",gay
Gun Shy,"['Comedy', ' Crime', ' Romance']",101 min,2000,An undercover agent relies on the support of an unstable therapy group while working a sting operation.,5.6,7848,1630000.0,['Eric Blakeney'],"['Liam Neeson', 'Sandra Bullock', 'Oliver Platt', 'José Zúñiga']",gay
The Trace of Your Lips,['Drama'],81 min,2023,"Román is an actor who works in B-movies and who's isolated in his apartment as a pandemic keeps the world on edge. Aldo, an indigenous young man, is an essential worker who's allowed by the...                See full summary »",5.2,109,0.0,['Julián Hernández'],"['Diego Ríos Andrade', 'Hugo Catalán', 'Mauro González', 'Abraham Levi']",gay
You & I,"['Drama', ' Romance']",79 min,2014,"Three immature guys drive around a remote region of Germany, fooling around and taking photographs.",5.9,1206,0.0,['Nils Bökamp'],"['George Taylor', 'Eric Klotzsch', 'Michal Grabowski']",gay
From Zero to I Love You,"['Drama', ' Romance']",106 min,2019,"A gay man, whose fear of intimacy leads him to continually fall for married guys, and a closeted married man meet, forcing both men to confront what they really want in their romantic lives.",6.2,1102,0.0,['Doug Spearman'],"['Al Sapienza', 'Leslie Zemeckis', 'Richard Lawson', 'Keili Lefkovitz']",gay
To the Ends of the World,"['Drama', ' War']",103 min,2018,"Indochina War, 1945: French soldier Robert is the only survivor of a massacre in which his brother has died. Blinded by revenge, he rejoins the forces in search of the assassins. But meeting the young Indochinese Maï disrupts his mission.",6.3,1226,0.0,['Guillaume Nicloux'],"['Gaspard Ulliel', 'Guillaume Gouix', 'Lang Khê Tran', 'Gérard Depardieu']",gay
Dream for an Insomniac,"['Romance', ' Comedy', ' Drama']",90 min,1996,"Girl leads a lonely life until she meets the boy of her dreams. The boy, however, has a live-in girlfriend.",5.9,2947,0.0,['Tiffanie DeBartolo'],"['Ione Skye', 'Jennifer Aniston', 'Mackenzie Astin', 'Michael Landes']",gay
The Taste of Others,"['Comedy', ' Drama', ' Romance']",112 min,2000,"The lives of 6 people over 35 in Rouen, France, and their relationship to each other.",7.2,10366,640000.0,['Agnès Jaoui'],"['Anne Alvaro', 'Jean-Pierre Bacri', 'Alain Chabat', 'Agnès Jaoui']",gay
Raajneeti,"['Crime', ' Drama', ' Thriller']",163 min,2010,"Samar, the son of a political family, plans to go to the USA to live with his girlfriend. However, the death of his father makes him stop and enter the dirty world of politics.",7.1,18923,1440000.0,['Prakash Jha'],"['Ajay Devgn', 'Ranbir Kapoor', 'Nana Patekar', 'Katrina Kaif']",gay
The Hottest Summer,"['Comedy', ' Drama', ' Romance']",96 min,2023,"During a record-breaking hot summer, Lucia volunteers at a church camp in Sicily, but the arrival of a handsome, soon-to-be-priest deacon disrupts her plans forever.",5.5,445,0.0,['Matteo Pilati'],"['Gianmarco Saurino', 'Nicole Damiani', 'Alice Angelica', 'Stefania Sandrelli']",gay
"Gone, But Not Forgotten","['Drama', ' Mystery', ' Romance']",94 min,2003,Questions about the identity of an amnesiac (Matthew Montgomery) threaten his romance with the park ranger (Aaron Orr) who rescued him.,5.6,2463,0.0,['Michael D. Akers'],"['Matthew Montgomery', 'Aaron Orr', 'Ariadne Shaffer', 'Joel Bryant']",gay
Eating Out: All You Can Eat,"['Comedy', ' Drama', ' Romance']",80 min,2009,"A gay Internet connection is made, but entanglements ensue due to hiding behind the name and photo of a straight male stripper who happens to return to the area.",5.8,3308,0.0,['Glenn Gaylord'],"['Rebekah Kochan', 'Daniel Skelton', 'Chris Salvatore', 'Michael E.R. Walker']",gay
The Falls: Covenant of Grace,"['Drama', ' Romance']",119 min,2016,"This third and final film of the Falls trilogy revisits former Mormon missionaries Chris and RJ, six years after they first fell in love and were disciplined for it, as they formulate a plan to be together at long last.",7.0,1185,0.0,['Jon Garcia'],"['Nick Ferrucci', 'Benjamin Farmer', 'Curtis Edward Jackson', 'Bruce Jennings']",gay
We the Animals,['Drama'],94 min,2018,"Manny, Joel, and Jonah tear their way through childhood and push against the volatile love of their parents. As Manny and Joel grow into versions of their father and Ma dreams of escape, Jonah embraces an imagined world all on his own.",6.9,4622,400000.0,['Jeremiah Zagar'],"['Evan Rosado', 'Raúl Castillo', 'Sheila Vand', 'Isaiah Kristian']",gay
Marjorie Prime,"['Drama', ' Mystery', ' Romance']",99 min,2017,A service that provides holographic recreations of deceased loved ones allows a woman to come face-to-face with the younger version of her late husband.,6.3,6865,180000.0,['Michael Almereyda'],"['Geena Davis', 'Hannah Gross', 'Jon Hamm', 'India Reed Kotis']",gay
Undertow,"['Drama', ' Fantasy', ' Romance']",97 min,2009,An unusual ghost story set on the Peruvian seaside; a married fisherman struggles to reconcile his devotion to his male lover within his town's rigid traditions.,7.7,7200,0.0,['Javier Fuentes-León'],"['Cristian Mercado', 'Tatiana Astengo', 'Manolo Cardona', 'Attilia Boschetti']",gay
The Way Out,"['Drama', ' Horror', ' Mystery']",94 min,2022,"A young man deals with the loss of his abusive father by taking advice from a charming, dangerous stranger who teaches him about life, sex, and fighting back.",7.1,1526,0.0,['Barry Jay'],"['Sherri Shepherd', 'Mike Manning', 'Ashleigh Murray', 'Jonny Beauchamp']",gay
The Cakemaker,"['Drama', ' Romance']",113 min,2017,A German pastry maker travels to Jerusalem in search of the wife and son of his dead lover.,7.3,5140,880000.0,['Ofir Raul Graizer'],"['Tim Kalkhof', 'Sarah Adler', 'Roi Miller', 'Zohar Strauss']",gay
The Eighth Sense,"['Romance', ' Drama']",117 min,2023,"In Seoul, a senior and freshman confront their inner demons as they embark on a transformative journey of self-discovery, anchored by a bond of the transformative power of human connection.",8.8,1288,0.0,[],"['Lim Ji-Sub', 'Jun-Taek Oh', 'Lee Mi Ra']",gay
Faceless,"['Horror', ' Thriller']",98 min,1988,"When model Barbara Hallen disappears in France, her father's private detective traces her steps to a private plastic surgery clinic run by Dr.Flamand.",5.8,1833,0.0,['Jesús Franco'],"['Helmut Berger', 'Brigitte Lahaie', 'Telly Savalas', 'Christopher Mitchum']",gay
Any Day Now,['Drama'],98 min,2012,"In the 1970s, a gay couple fights a biased legal system to keep custody of the abandoned mentally handicapped teenager that comes to live under their roof.",7.4,6575,200000.0,['Travis Fine'],"['Alan Cumming', 'Garret Dillahunt', 'Isaac Leyva', 'Frances Fisher']",gay
End of Love,"['Crime', ' Drama', ' Romance']",95 min,2008,"Stuck in a Christian 'rehabilitation' camp, Ming recalls his double life, a whirlwind of sex and drugs as a rent boy, and a sedate, romantic life with the older and more conservative Yen. ...                See full summary »",5.3,330,0.0,['Simon Chung'],"['Chi-Kin Lee', 'Kin-Fat Lai', 'Alex Wong', 'Guthrie Yip']",gay
Eskimo Nell,['Comedy'],85 min,1975,"Three young men, a scriptwriter, a producer and a director are called in by Benny U Murdoch, an exotic movie producer. He wants to make a new erotic movie starring a big woman - the ""Eskimo...                See full summary »",4.4,434,0.0,['Martin Campbell'],"['Michael Armstrong', 'Terence Edmond', 'Christopher Timothy', 'Roy Kinnear']",gay
Given,"['Animation', ' Drama', ' Music']",59 min,2020,"The film centers on the love relationship among the Given music band's bassist Haruki Nakayama, drummer Akihiko Kaji, and Akihiko's roommate and ex-boyfriend Ugetsu Murata.",7.7,2439,0.0,['Hikaru Yamaguchi'],"['Kotaro Asanuma', 'Takuya Eguchi', 'Masatomo Nakazawa', 'Yuma Uchida']",gay
Mandragora,['Drama'],126 min,1997,"Two gay teenage runaways thrown out of their repressive homes try to survive on the streets of Prague. Hunger and desperation forces them into a life of prostitution, drugs, and teen-porn.",6.6,1276,0.0,['Wiktor Grodecki'],"['Miroslav Caslavka', 'David Svec', 'Pavel Skrípal', 'Kostas Zerdolaglu']",gay
Dancing on the Dark Side of the Moon,"['Comedy', ' Drama', ' Fantasy']",61 min,2021,"Picture this if you will. A futuristic lighthouse floating through dark space. We welcome you to join us on this unusual journey of ""Dancing on the Dark Side of the Moon"".",4.8,77,0.0,['Steven Vasquez'],"['Tristan Adler', 'Luke Allen', 'Kory Anders', 'Alex Boecker']",gay
You Can't Stay Here,['Thriller'],104 min,2023,"Set in the 1990s, follows a photographer who witnesses the homicide of a gay man in Central Park. When the police take some interest in the crime, a relationship develops between the photographer and the murderer.",6.1,26,0.0,['Todd Verow'],"['Guillermo Diaz', 'Karina Arroyave', 'Vanessa Aspillaga', 'Becca Blackwell']",gay
I Hate Valentine's Day,"['Comedy', ' Romance']",98 min,2009,"A florist, who abides by a strict five-date limit with any man, finds herself wanting more with the new restaurateur in town.",4.7,8830,10000.0,['Nia Vardalos'],"['Nia Vardalos', 'John Corbett', 'Judah Friedlander', 'Stephen Guarino']",gay
